Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
347,"('slope_dais.slr_brick', 0.0006263329123612493)","('diff.temperature', 1.8528250455856323)","('alpha.temperature', 1.1479907631874084)","('S.temperature', 2.730543613433838)","('rho.slr_gsic_obs', 0.9834614098072052)","('offset.Tgav_obs', -0.008102502673864365)","('alpha_dais.slr_brick', 0.03981054946780205)","('beta0_gsic.slr_brick', 0.0011709662503562868)","('rho.slr_gis_obs', 0.9650814235210419)","('b_anto.slr_brick', 0.28608986735343933)","('alpha.temperature', 1.0972427725791931)",,
348,"('slope_dais.slr_brick', 0.00056962386588566)","('S.temperature', 2.8738142251968384)","('a_anto.slr_brick', 0.5573529005050659)","('S.temperature', 4.1941399574279785)","('offset.Tgav_obs', -0.031409215182065964)","('offset.Tgav_obs', -0.030640865676105022)","('lambda_dais.slr_brick', 0.012138135731220245)","('a_tee.slr_brick', 0.10175185650587082)","('slope_dais.slr_brick', 0.0006950337265152484)","('rho.slr_gsic_obs', 0.961953729391098)",,,
349,"('a_tee.slr_brick', 0.08444395288825035)","('beta0_gsic.slr_brick', 0.000849544070661068)","('rho.Tgav_obs', 0.33748310804367065)","('S.temperature', 3.0688092708587646)","('sigma.slr_gis_obs', 0.00016014985885703936)","('slope_dais.slr_brick', 0.0006311882461886853)","('a_tee.slr_brick', 0.14636550843715668)","('Tcrit_dais.slr_brick', -15.899682998657227)","('sigma.Tgav_obs', 0.08150862529873848)",,,,
350,"('S.temperature', 2.9391690492630005)","('a_tee.slr_brick', 0.0972830206155777)","('b_simple.slr_brick', 7.425720930099487)","('P0_dais.slr_brick', 0.4942176938056946)","('a_anto.slr_brick', 0.1688300520181656)","('b_anto.slr_brick', 1.8628419041633606)","('S.temperature', 4.20563817024231)","('f0_dais.slr_brick', 1.003996729850769)","('a_anto.slr_brick', 0.36027249693870544)","('alpha.temperature', 1.1885855197906494)",,,
351,"('a_anto.slr_brick', 0.4184538722038269)","('a_tee.slr_brick', 0.07509925588965416)","('rho.slr_gis_obs', 0.9675049185752869)","('alpha.temperature', 0.9900716841220856)","('alpha_dais.slr_brick', 0.01686588954180479)","('mu_dais.slr_brick', 12.940794467926025)","('Gs0_gsic.slr_brick', 0.003614367335103452)",,,,,,
352,"('alpha.temperature', 0.7965623438358307)","('S.temperature', 3.247660517692566)","('slope_dais.slr_brick', 0.0005698899039998651)","('S.temperature', 5.818907737731934)","('b0_dais.slr_brick', 816.2090759277344)","('rho.Tgav_obs', 0.3550333231687546)","('sigma.Tgav_obs', 0.08641708269715309)",,,,,,
353,"('diff.temperature', 1.0071436762809753)","('a_anto.slr_brick', 0.41363950073719025)","('alpha.temperature', 0.8180108964443207)","('V0_simple.slr_brick', 7.168694972991943)",,,,,,,,,
354,"('diff.temperature', 1.553545594215393)","('a_tee.slr_brick', 0.08444395288825035)","('S.temperature', 3.256422758102417)","('sigma.slr_gsic_obs', 0.000215530140849296)","('alpha_simple.slr_brick', 0.00024362208932871)","('S.temperature', 3.985566258430481)","('slope_dais.slr_brick', 0.0005749794654548168)","('mu_dais.slr_brick', 10.496325492858887)","('a_simple.slr_brick', -0.8468108773231506)",,,,
355,"('S.temperature', 2.81153666973114)","('sigma.slr_gsic_obs', 0.00025139474018942565)","('S.temperature', 3.8981488943099976)","('a_tee.slr_brick', 0.09562523290514946)","('slope_dais.slr_brick', 0.0006660995713900775)","('h0_dais.slr_brick', 1198.616455078125)",,,,,,,
356,"('b_anto.slr_brick', 1.287657916545868)","('mu_dais.slr_brick', 8.217033386230469)","('nu_dais.slr_brick', 0.011374338530004025)",,,,,,,,,,
357,"('slope_dais.slr_brick', 0.0005638949514832348)","('sigma.slr_gsic_obs', 0.00028413781546987593)","('alpha.temperature', 1.1468979716300964)","('a_anto.slr_brick', 0.7362545430660248)","('slope_dais.slr_brick', 0.0006884457252454013)","('kappa_dais.slr_brick', 0.07764320075511932)","('n_gsic.slr_brick', 0.9378165006637573)","('n_gsic.slr_brick', 0.6961625814437866)",,,,,
358,"('beta0_gsic.slr_brick', 0.0007731294026598334)","('a_anto.slr_brick', 0.40348273515701294)","('a_tee.slr_brick', 0.08555195480585098)","('lambda_dais.slr_brick', 0.012689027469605207)","('S.temperature', 3.772348642349243)","('sigma.slr_gis_obs', 0.0001657041793805547)","('beta0_gsic.slr_brick', 0.000780262693297118)",,,,,,
359,"('S.temperature', 3.2021313905715942)","('a_tee.slr_brick', 0.09313236549496651)","('a_tee.slr_brick', 0.1291913464665413)","('rho.slr_gis_obs', 0.9479890763759613)","('kappa_dais.slr_brick', 0.07807164639234543)",,,,,,,,
360,"('Tcrit_dais.slr_brick', -16.200200080871582)","('a_simple.slr_brick', -0.8667254447937012)","('rho.Tgav_obs', 0.3452525734901428)",,,,,,,,,,
361,"('P0_dais.slr_brick', 0.304047167301178)","('b_simple.slr_brick', 7.662720680236816)","('V0_gsic.slr_brick', 0.48679114878177643)",,,,,,,,,,
362,"('diff.temperature', 1.5046364665031433)","('a_tee.slr_brick', 0.10393159091472626)","('rho.slr_gsic_obs', 0.9615056216716766)","('alpha.temperature', 0.7952347099781036)","('beta0_gsic.slr_brick', 0.0005401500384323299)","('offset.Tgav_obs', 0.017287825234234333)","('b_simple.slr_brick', 7.420637130737305)","('beta_simple.slr_brick', 8.123910811264068e-05)","('f0_dais.slr_brick', 0.7077257037162781)","('n_gsic.slr_brick', 0.6237816512584686)","('f0_dais.slr_brick', 0.7435279488563538)","('h0_dais.slr_brick', 1643.9849853515625)","('n_gsic.slr_brick', 0.8833268582820892)"
363,"('diff.temperature', 0.8824989497661591)","('P0_dais.slr_brick', 0.19878113269805908)","('alpha_simple.slr_brick', 0.00011778756743296981)","('rho.slr_gsic_obs', 0.9838884770870209)","('alpha.temperature', 0.9071599245071411)","('b0_dais.slr_brick', 782.6062927246094)",,,,,,,
364,"('Gs0_gsic.slr_brick', 0.0039844815619289875)","('S.temperature', 3.2564836740493774)","('a_tee.slr_brick', 0.10430939868092537)","('alpha_simple.slr_brick', 0.00014328557153930888)","('b0_dais.slr_brick', 741.3913879394531)","('rho.slr_gis_obs', 0.9434925019741058)","('beta0_gsic.slr_brick', 0.0007730222423560917)",,,,,,
365,"('a_tee.slr_brick', 0.08477696776390076)","('sigma.slr_gsic_obs', 0.0002207668003393337)","('beta0_gsic.slr_brick', 0.0009706564014777541)","('a_simple.slr_brick', -1.4155330061912537)","('S.temperature', 3.2553032636642456)","('b_anto.slr_brick', 1.3712127208709717)","('n_gsic.slr_brick', 0.6068898141384125)","('P0_dais.slr_brick', 0.24026284366846085)","('b_anto.slr_brick', 0.5051282942295074)","('a_tee.slr_brick', 0.1089884452521801)","('slope_dais.slr_brick', 0.0005942357238382101)","('f0_dais.slr_brick', 0.979513019323349)",
